COLLEGE,MAJOR CIP,HEAD COUNT
Fanshawe College,International Business/Trade/Commerce,73
Fanshawe College,Land Use Planning and Management/Development,38
Fanshawe College,Landscaping and Groundskeeping,133
Fanshawe College,"Legal Professions and Studies, Other",175
Fanshawe College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",247
Fanshawe College,Machine Tool Technology/Machinist,43
Fanshawe College,"Marketing/Marketing Management, General",565
Fanshawe College,Medical Office Management/Administration,168
Fanshawe College,Medical Radiologic Technology/Science - Radiation Therapist,156
Fanshawe College,Not Codeable,"2,151"
Fanshawe College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",257
Fanshawe College,"Parks, Recreation and Leisure Studies",160
Fanshawe College,Pharmacy Technician/Assistant,69
Fanshawe College,Photography,223
Fanshawe College,"Physical Science Technologies/Technicians, Other",74
Fanshawe College,"Purchasing, Procurement/Acquisitions and Contracts Management",61
Fanshawe College,Radio and Television,246
Fanshawe College,Recording Arts Technology/Technician,240
Fanshawe College,Respiratory Care Therapy/Therapist,105
Fanshawe College,"Security and Protective Services, Other",31
Fanshawe College,"Social Work, General",234
Fanshawe College,Sport and Fitness Administration/Management,38
Fanshawe College,Technology Education/Industrial Arts Programs,62
Fanshawe College,"Web Page, Digital/Multimedia and Information Resources Design",11
Fanshawe College,Welding Technology/Welder,36
Fanshawe College,Youth Services/Administration,366
Fanshawe College,Total,"14,228"
George Brown College,Accounting,121
George Brown College,Accounting and Business/Management,743
George Brown College,Adult Development and Aging,148
George Brown College,American Sign Language (ASL),91
George Brown College,"Animation, Interactive Technology, Video Graphics and Special Effects",11
George Brown College,Apparel and Textile Marketing Management,359
George Brown College,Architectural Technology/Technician,430
George Brown College,"Art/Art Studies, General",185
George Brown College,Audiology/Audiologist and Hearing Sciences,118
George Brown College,Baking and Pastry Arts/Baker/Pastry Chef,184
George Brown College,Behavioural Sciences,227
George Brown College,"Business Administration and Management, General",630
George Brown College,Business and Personal/Financial Services Marketing Operations,79
George Brown College,"Business, Management, Marketing and Related Support Services, Other",48
George Brown College,Child Care Provider/Assistant,646
George Brown College,Computer Systems Analysis/Analyst,183
George Brown College,Computer Systems Networking and Telecommunications,100
George Brown College,Computer Technology/Computer Systems Technology,286
George Brown College,Construction Engineering Technology/Technician,498
George Brown College,Construction Management,291
George Brown College,"Construction Trades, Other",251
George Brown College,"Cooking and Related Culinary Arts, General",119
George Brown College,Critical Care Nursing,111
George Brown College,Culinary Arts/Chef Training,238
George Brown College,"Dance, General",73
George Brown College,Dental Assisting/Assistant,129
George Brown College,Dental Hygiene/Hygienist,13
George Brown College,Dental Laboratory Technology/Technician,233
George Brown College,"Design and Applied Arts, Other",25
George Brown College,"Drama and Dramatics/Theatre Arts, General",64
George Brown College,Electromechanical Technology/Electromechanical Engineering Technology,117
George Brown College,Entrepreneurship/Entrepreneurial Studies,42
George Brown College,Family and Community Services,332
George Brown College,Fashion/Apparel Design,351
George Brown College,Financial Planning and Services,243
George Brown College,Foodservice Systems Administration/Management,38
George Brown College,General Studies,216
George Brown College,Graphic Design,385
George Brown College,Health Aide,57
George Brown College,"Health and Physical Education, General",55
George Brown College,Health Information/Medical Records Administration/Administrator,87
George Brown College,"Health/Medical Preparatory Programs, Other",264
George Brown College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",294
