UNIVERSITY,COUNTRY OF CITIZENSHIP,HEAD COUNT
Toronto,ZIMBABWE,26
Toronto,Total,"73,215"
Trent,BAHAMAS,14
Trent,BANGLADESH,12
Trent,CANADA,"6,102"
Trent,CHINA,149
Trent,ENGLAND,15
Trent,INDIA,23
Trent,JAMAICA,13
Trent,MALAYSIA,21
Trent,NIGERIA,44
Trent,PAKISTAN,22
Trent,RUSSIAN FEDERATION,33
Trent,SAUDI ARABIA,45
Trent,UNITED KINGDOM,13
Trent,UNITED STATES,32
Trent,ZIMBABWE,18
Trent,Total,"6,824"
UOIT,AFGHANISTAN,13
UOIT,BANGLADESH,37
UOIT,BERMUDA,10
UOIT,CANADA,"7,272"
UOIT,CHINA,65
UOIT,EGYPT,25
UOIT,HONG KONG,21
UOIT,INDIA,212
UOIT,IRAN,39
UOIT,JAMAICA,18
UOIT,KOREA SOUTH,10
UOIT,MALAYSIA,10
UOIT,NIGERIA,64
UOIT,NOT REPORTED,141
UOIT,PAKISTAN,111
UOIT,PHILIPPINES,26
UOIT,SAUDI ARABIA,81
UOIT,SRI LANKA,66
UOIT,TURKEY,14
UOIT,UNITED KINGDOM,12
UOIT,UNITED STATES,11
UOIT,VIET NAM,11
UOIT,Total,"8,472"
Waterloo,AUSTRALIA,44
Waterloo,AZERBAIJAN,23
Waterloo,BANGLADESH,133
Waterloo,BARBADOS,16
Waterloo,BRAZIL,43
Waterloo,CANADA,"24,533"
Waterloo,CHILE,11
Waterloo,CHINA,"3,202"
Waterloo,COLOMBIA,31
Waterloo,EGYPT,148
Waterloo,ETHIOPIA,14
Waterloo,FRANCE,64
Waterloo,GERMANY,87
Waterloo,GHANA,30
Waterloo,HONG KONG,17
Waterloo,INDIA,685
Waterloo,INDONESIA,41
Waterloo,IRAN,439
Waterloo,IRAQ,32
Waterloo,ISRAEL,13
Waterloo,ITALY,10
Waterloo,JAMAICA,21
Waterloo,JAPAN,19
Waterloo,JORDAN,31
Waterloo,KAZAKHSTAN,24
Waterloo,KENYA,34
Waterloo,KOREA SOUTH,485
Waterloo,LEBANON,26
Waterloo,LIBYA,20
Waterloo,MALAYSIA,130
Waterloo,MAURITIUS,35
Waterloo,MEXICO,39
Waterloo,NEPAL,16
Waterloo,NETHERLANDS,11
Waterloo,NIGERIA,119
Waterloo,PAKISTAN,407
Waterloo,PHILIPPINES,70
Waterloo,POLAND,15
Waterloo,ROMANIA,18
Waterloo,RUSSIAN FEDERATION,45
Waterloo,SAUDI ARABIA,113
Waterloo,SINGAPORE,29
Waterloo,SOUTH AFRICA,10
Waterloo,SRI LANKA,61
Waterloo,SWEDEN,21
Waterloo,SWITZERLAND,11
Waterloo,Syria,24
Waterloo,TANZANIA UNITED REPUBLIC OF,18
Waterloo,THAILAND,12
